L1,L2,L3,RAM
45,45,69,294
48,45,69,300
45,48,72,303
51,51,72,309
45,48,72,303
54,54,72,717
45,45,72,294
45,45,69,1218
45,45,69,297
48,51,72,300
51,45,69,309
45,51,69,303
51,48,72,300
48,45,78,1095
45,51,69,297
45,48,69,1215
45,45,72,291
54,48,69,1212
45,54,69,294
51,51,72,1215
45,45,69,294
48,54,69,1221
45,45,69,294
45,45,69,1212
51,48,72,291
48,51,72,1212
51,48,69,303
45,54,63,300
45,54,78,606
54,54,69,294
45,51,72,1215
51,45,69,297
45,48,69,1221
54,45,72,294
45,48,69,1197
45,45,63,294
51,45,63,1221
48,45,72,294
51,45,69,1212
45,45,69,294
45,54,72,1218
48,45,69,294
45,51,72,1209
51,45,75,294
45,45,72,300
54,51,72,678
45,51,63,294
45,45,69,1209
45,51,69,294
48,45,69,1200
51,51,69,297
45,45,63,1218
51,45,72,294
48,51,72,1215
45,45,72,294
45,51,69,1218
45,48,72,294
54,45,75,1215
45,45,63,294
51,45,63,1215
45,48,69,291
48,54,69,1224
45,45,63,306
45,45,72,303
51,45,69,642
48,45,69,294
51,51,69,1212
45,45,72,294
45,51,69,1218
54,45,72,294
45,48,69,1209
51,45,72,294
45,48,75,1218
54,51,69,291
45,45,63,1209
45,45,69,294
51,54,69,1215
48,45,69,294
51,45,72,1218
45,45,69,294
45,51,72,303
48,75,72,309
45,63,69,291
51,84,69,294
45,45,69,1215
54,48,69,297
45,51,78,1221
45,51,72,294
45,48,69,1212
48,51,69,300
51,51,69,1203
45,51,69,294
51,51,69,1212
48,45,69,294
45,48,69,1218
45,54,69,294
45,45,69,1209
54,51,69,294
45,48,69,303
51,45,72,309
45,45,72,306
48,51,78,300
45,45,72,330
45,54,72,294
51,48,69,1251
48,45,69,294
51,45,69,1224
45,45,69,294
45,54,69,1248
54,45,72,291
45,48,69,1224
51,51,69,294
45,48,72,1221
54,45,72,294
45,51,69,1212
45,45,72,294
51,51,75,306
48,45,63,300
51,48,69,294
45,51,72,1035
45,45,69,294
